manager_id,manager_name,team_value_dashboard,team_value_calculated,profit_taken,unrealized_profit_loss,bank_balance,available_liquidity
143047,weiler,165485205.0,165485205.0,809240,-17904190.0,-31980155.0,22629962.650000006
2926476,Till,145844727.0,145844727.0,582462,3761381.0,9099116.0,57227875.910000004
3263106,adihipster,125901648.0,125901648.0,489355,-21081151.0,4106556.0,45654099.84
3299615,mjb,162921178.0,162921178.0,782219,-12279449.0,-23818408.0,29945580.740000002
3308316,Gol D Chris,180249869.0,180249869.0,69472,-427153.0,-30007550.0,29474906.770000003
3570769,Avzos,138777270.0,138777270.0,6228471,-20841006.0,-2789805.0,43006694.1
3573562,Philippinho,158673896.0,158673896.0,75447,-16274030.0,-24272479.0,28089906.68
